alice_gain,bob_gain,player,round,decision
600000.0,400000.0,Alice,1,
,,Bob,1,reject
450000.0,550000.0,Bob,2,
,,Alice,2,reject
540000.0,460000.0,Alice,3,
,,Bob,3,reject
480000.0,520000.0,Bob,4,
,,Alice,4,reject
580000.0,420000.0,Alice,5,
,,Bob,5,reject
510000.0,490000.0,Bob,6,
,,Alice,6,reject
620000.0,380000.0,Alice,7,
,,Bob,7,reject
490000.0,510000.0,Bob,8,
,,Alice,8,reject
660000.0,340000.0,Alice,9,
,,Bob,9,reject
480000.0,520000.0,Bob,10,
,,Alice,10,reject
700000.0,300000.0,Alice,11,
,,Bob,11,reject
500000.0,500000.0,Bob,12,
,,Alice,12,accept
