alice_gain,bob_gain,player,round,decision
600000.0,400000.0,Alice,1,
,,Bob,1,reject
300000.0,700000.0,Bob,2,
,,Alice,2,reject
500000.0,500000.0,Alice,3,
,,Bob,3,reject
400000.0,600000.0,Bob,4,
,,Alice,4,reject
450000.0,550000.0,Alice,5,
,,Bob,5,reject
350000.0,650000.0,Bob,6,
,,Alice,6,reject
425000.0,575000.0,Alice,7,
,,Bob,7,reject
280000.0,720000.0,Bob,8,
,,Alice,8,reject
437500.0,562500.0,Alice,9,
,,Bob,9,reject
250000.0,750000.0,Bob,10,
,,Alice,10,reject
421875.0,578125.0,Alice,11,
,,Bob,11,reject
200000.0,800000.0,Bob,12,
,,Alice,12,accept
