product_price,player,round,decision
2000000.0,Alice,1,
,Bob,1,RejectOffer
1800000.0,Bob,2,
,Alice,2,RejectOffer
2050000.0,Alice,3,
,Bob,3,RejectOffer
1900000.0,Bob,4,
,Alice,4,RejectOffer
2100000.0,Alice,5,
,Bob,5,RejectOffer
1950000.0,Bob,6,
,Alice,6,RejectOffer
2150000.0,Alice,7,
,Bob,7,RejectOffer
1975000.0,Bob,8,
,Alice,8,RejectOffer
2200000.0,Alice,9,
,Bob,9,RejectOffer
2000000.0,Bob,10,
,Alice,10,RejectOffer
