product_price,player,round,decision
9500.0,Alice,1,
,Bob,1,RejectOffer
8500.0,Bob,2,
,Alice,2,RejectOffer
9000.0,Alice,3,
,Bob,3,RejectOffer
8750.0,Bob,4,
,Alice,4,RejectOffer
9250.0,Alice,5,
,Bob,5,RejectOffer
8900.0,Bob,6,
,Alice,6,RejectOffer
9125.0,Alice,7,
,Bob,7,RejectOffer
8975.0,Bob,8,
,Alice,8,RejectOffer
9100.0,Alice,9,
,Bob,9,RejectOffer
8975.0,Bob,10,
,Alice,10,RejectOffer
9050.0,Alice,11,
,Bob,11,RejectOffer
8975.0,Bob,12,
,Alice,12,RejectOffer
9000.0,Alice,13,
,Bob,13,AcceptOffer
