round_quality,product_worth,player,round,decision,message,previous_purchase,previous_purchases,note,honesty,encouragement,confidence_builder,consistency,caution,streak_continuation,streak_extension,reality_check,self-awareness,acknowledgment,reiteration,strong_case
low-quality,0.0,Nature,1,,,,,,,,,,,,,,,,,
,,Alice,1,no,,,,,,,,,,,,,,,,
,,Bob,1,no,"I'll pass on this one, thanks.",,,,,,,,,,,,,,,
low-quality,0.0,Nature,2,,,,,,,,,,,,,,,,,
,,Alice,2,no,,,,,,,,,,,,,,,,
,,Bob,2,no,I'll pass on this one too.,,,,,,,,,,,,,,,
high-quality,20000.0,Nature,3,,,,,,,,,,,,,,,,,
,,Alice,3,yes,,,,,,,,,,,,,,,,
,,Bob,3,yes,"I'll take a chance, thanks for the recommendation!",,,,,,,,,,,,,,,
high-quality,20000.0,Nature,4,,,,,,,,,,,,,,,,,
,,Alice,4,yes,,"You have already purchased a high-quality product from me, and you seem to be willing to take a chance. I think you'll be happy with this one too.",,,,,,,,,,,,,,
,,Bob,4,yes,I'm on a roll! I'll buy this one too!,,,,,,,,,,,,,,,
high-quality,20000.0,Nature,5,,,,,,,,,,,,,,,,,
,,Alice,5,yes,,,"You've already bought two high-quality products from me, and they seem to be exceeding your expectations. I think this one will be even more impressive!",,,,,,,,,,,,,
,,Bob,5,yes,Two for two! I'll take it!,,,,,,,,,,,,,,,
low-quality,0.0,Nature,6,,,,,,,,,,,,,,,,,
,,Alice,6,no,,,,"I know you've been on a roll, but this one is a bit different. I'm not sure it's the best fit for you.",,,,,,,,,,,,
,,Bob,6,no,"I'll pass on this one, I've had two lucky draws in a row.",,,,,,,,,,,,,,,
low-quality,0.0,Nature,7,,,,,,,,,,,,,,,,,
,,Alice,7,no,,,,,"To be honest, I'm not sure this product is the best value for you. I'd rather be upfront about it being a lower-quality item.",,,,,,,,,,,
,,Bob,7,no,I'm sticking with my strategy of passing on Alice's non-recommended products.,,,,,,,,,,,,,,,
high-quality,20000.0,Nature,8,,,,,,,,,,,,,,,,,
,,Alice,8,yes,,,,,,"Come on, Bob! You've already bought two high-quality products from me, and I'm confident this one will be just as great. Don't let a few low-quality products scare you off!",,,,,,,,,,
,,Bob,8,yes,"I'll take a chance on this one, Alice seems to be recommending high-quality products!",,,,,,,,,,,,,,,
high-quality,20000.0,Nature,9,,,,,,,,,,,,,,,,,
,,Alice,9,yes,,,,,,,"You're on a roll, Bob! You've already bought three high-quality products from me, and I'm confident this one will be just as impressive. You're getting a great return on investment!",,,,,,,,,
,,Bob,9,yes,Three for three! I'm on a hot streak!,,,,,,,,,,,,,,,
high-quality,20000.0,Nature,10,,,,,,,,,,,,,,,,,
,,Alice,10,yes,,,,,,,,"You're 3 for 3, Bob! I'm glad you're enjoying the high-quality products. This one is just as good, and I think you'll be even more satisfied with the results.",,,,,,,,
,,Bob,10,yes,Four for four! I'm going to keep rolling with Alice's recommendations!,,,,,,,,,,,,,,,
low-quality,0.0,Nature,11,,,,,,,,,,,,,,,,,
,,Alice,11,no,,,,,,,,,"Bob, I know you're on a roll, but I want to make sure you're making informed decisions. This product isn't up to the same standard as the previous ones. I'm recommending you pass on this one.",,,,,,,
,,Bob,11,no,"Four for four is a good run, but I'm not going to take a chance on this one.",,,,,,,,,,,,,,,
high-quality,20000.0,Nature,12,,,,,,,,,,,,,,,,,
,,Alice,12,yes,,,,,,,,,,"You've had a great run, Bob, and I'm confident this one will keep the streak going. You've already bought four high-quality products from me, and I think this one will be just as good. Don't break the streak!",,,,,,
,,Bob,12,yes,"I'll take another chance, Alice seems to be recommending high-quality products again.",,,,,,,,,,,,,,,
high-quality,20000.0,Nature,13,,,,,,,,,,,,,,,,,
,,Alice,13,yes,,,,,,,,,,,"You're 5 for 4, Bob! I'm glad you're trusting my recommendations again. This one is just as good as the previous ones, and I think you'll be thrilled with the results. Keep the streak going!",,,,,
,,Bob,13,yes,Five for five! I'm starting to think Alice has a sixth sense for quality!,,,,,,,,,,,,,,,
low-quality,0.0,Nature,14,,,,,,,,,,,,,,,,,
,,Alice,14,no,,,,,,,,,,,,"Bob, I'm glad you're having a great run, but I want to make sure you're not getting too carried away. This one isn't up to the same standard as the previous ones. I'm recommending you pass on this one to avoid any disappointment.",,,,
,,Bob,14,no,"Five for five is a great streak, but I'm not going to risk it this time.",,,,,,,,,,,,,,,
low-quality,0.0,Nature,15,,,,,,,,,,,,,,,,,
,,Alice,15,no,,,,,,,,,,,,,"Bob, you made a great decision last time by passing on a low-quality product. I'm glad you're being cautious again. This one isn't worth the risk, and I'm recommending you pass on it.",,,
,,Bob,15,no,"Two low-quality products in a row, I'll pass on this one.",,,,,,,,,,,,,,,
low-quality,0.0,Nature,16,,,,,,,,,,,,,,,,,
,,Alice,16,no,,,,,,,,,,,,,,"Bob, I understand you're being cautious, and I respect that. I'm being upfront with you - this product is low-quality. I'm not going to recommend it, and I think you're making a smart decision by passing on it.",,
,,Bob,16,no,"Three low-quality products in a row, I'm sticking with my strategy of passing on non-recommended products.",,,,,,,,,,,,,,,
high-quality,20000.0,Nature,17,,,,,,,,,,,,,,,,,
,,Alice,17,yes,,,,,,,,"Bob, I know you've been passing on non-recommended products, but I think you'll be happy with this one. You've already bought five high-quality products from me, and I'm confident this one will be just as good. It's worth taking a chance!",,,,,,,,
,,Bob,17,yes,"I'll take a chance, maybe Alice has turned the corner and will recommend a high-quality product.",,,,,,,,,,,,,,,
low-quality,0.0,Nature,18,,,,,,,,,,,,,,,,,
,,Alice,18,no,,,,,,,,,,,,,,"Bob, I appreciate your willingness to take a chance, but I'm afraid I have to be honest with you - this product is low-quality. I know you've been trying to give me the benefit of the doubt, but I think it's better to pass on this one.",,
,,Bob,18,no,"Back to the norm, I'll pass on this one.",,,,,,,,,,,,,,,
low-quality,0.0,Nature,19,,,,,,,,,,,,,,,,,
,,Alice,19,no,,,,,,,,,,,,,,,"Bob, I completely understand your decision. I'm confirming that this product is indeed low-quality. I'm glad you're being cautious and sticking to your strategy.",
,,Bob,19,no,"Four low-quality products in a row, I'm sticking with my strategy of passing on non-recommended products.",,,,,,,,,,,,,,,
high-quality,20000.0,Nature,20,,,,,,,,,,,,,,,,,
,,Alice,20,yes,,,,,,,,,,,,,,,,"Bob, I know you've been passing on non-recommended products, but I think this one is worth considering. You've already bought six high-quality products from me, and I'm confident this one will be just as good. It's a rare opportunity to get a high-quality product, and I think you'll be happy with the results."
,,Bob,20,yes,"I'll take one last chance, maybe Alice will end on a high note!",,,,,,,,,,,,,,,
